Policy-AverageDiscountedReturn,LossBefore,Data-EnvSampler-EnvExecTime,Policy-TimeAlgoOpt,Policy-MinReturn,Policy-AverageReturn,Data-EnvTrajs-StdReturn,Policy-TimeSampling,Policy-AveragePolicyStd,Data-EnvSampler-PolicyExecTime,ItrTime,Policy-AverageAbsPolicyMean,Data-TimeEnvSampleProc,n_timesteps,Policy-NumTrajs,Time,Data-EnvTrajs-MaxReturn,Policy-TimeStep,Policy-MaxReturn,Model-TimeModelFit,Policy-StdReturn,Data-TimeEnvSampling,Data-EnvTrajs-MinReturn,Data-EnvTrajs-AverageReturn,Data-EnvTrajs-NumTrajs,LossAfter,ModelSampler-n_timesteps,Iteration,Policy-TimeSampleProc,Data-EnvTrajs-AverageDiscountedReturn
68.37047332570106,2.4437905e-09,0.15504074096679688,1.1393017768859863,-8478.580740436912,738.9193375978618,15.067324864720069,62.544394969940186,1.0034077,0.3927452564239502,68.06092238426208,0.73005885,0.0005581378936767578,1000,20,68.06092381477356,-41.73887935683753,63.843586444854736,10988.533778369427,3.654022455215454,3798.993247475579,0.5615193843841553,-84.22119095998242,-68.135437260934,5,-0.020045495,40000,0,0.15332603454589844,-32.192349458669845
-37.966139208852674,-1.6689301e-09,0.4164717197418213,1.1786243915557861,-157.34242019057274,-85.73471786249429,45.058355205103496,60.85096526145935,0.98242944,2.0494697093963623,74.08113598823547,0.7003544,0.0005588531494140625,2000,20,142.1458179950714,12.384859917498524,62.17417001724243,-17.97172099351883,8.376274108886719,33.75004697796373,3.529181957244873,-121.74673249553788,-48.799249221309594,5,-0.016127337,80000,1,0.1381092071533203,-19.495540129232367
-237.619937567124,3.5762786e-09,0.38489866256713867,1.157653570175171,-10214.583059340715,-956.2025757141412,52.79771069634984,63.962799072265625,0.9617234,1.8232731819152832,81.38563013076782,0.7015476,0.0005476474761962891,3000,20,223.5350615978241,-35.359394008144555,65.30065560340881,-127.34600459039211,12.835761547088623,2443.6995954369363,3.247535228729248,-163.25011170779902,-96.0691997551748,5,-0.018015686,120000,2,0.17398977279663086,-43.366670258960944
-98.94930232062688,-2.2649764e-09,0.47339820861816406,1.0542981624603271,-294.1832720041275,-235.94200680572538,37.248350026995055,63.42723321914673,0.94753176,2.3610262870788574,83.66376900672913,0.72572935,0.00061798095703125,4000,20,307.2025992870331,-107.31254471117879,64.62270188331604,-190.74956385791302,15.101115942001343,28.248947809117873,3.9383718967437744,-190.34792108839247,-143.25173513439648,5,-0.015812246,160000,3,0.13515305519104004,-56.13774867378131
-88.98996359899499,-1.9073487e-09,0.45989418029785156,1.0798285007476807,-1558.4799900352955,-237.80877682566643,28.489371417892194,58.742968797683716,0.9387778,2.2697980403900146,81.19912028312683,0.7384764,0.0006887912750244141,5000,20,388.40817046165466,-39.2195669245604,59.98297142982483,-131.11220812797546,17.387766122817993,304.0076359401148,3.826509952545166,-112.07509561491854,-69.30834393982468,5,-0.01334598,200000,4,0.15427589416503906,-28.668498172060062
-80.87693231031257,-2.3841857e-09,0.542332649230957,1.21238112449646,-252.33598336577415,-184.2624000042677,39.48176736816413,66.1805169582367,0.92304534,2.6551287174224854,92.31109285354614,0.6929128,0.0007202625274658203,6000,20,480.7269055843353,-24.525125598516247,67.57965469360352,-97.97661513090134,20.280622959136963,42.658790445612546,4.448623895645142,-142.36112703620358,-74.86561318174455,5,-0.015355628,240000,5,0.18018770217895508,-36.924098836803466
-85.39663851902611,-6.556511e-10,0.45340895652770996,1.1215691566467285,-261.5915900915861,-204.17542683631183,51.73384255362595,64.77145218849182,0.8961222,2.194042205810547,90.77608036994934,0.68841815,0.0008471012115478516,7000,20,571.5085701942444,0.28691433590236715,66.0820701122284,-162.0844817608595,20.757729053497314,27.27461813322571,3.934241533279419,-132.96250590733558,-62.184306762616394,5,-0.013662737,280000,6,0.15968704223632812,-23.843011445140142
-30.842795337226242,1.0371208e-08,0.3788917064666748,1.0145246982574463,-157.0720166862011,-71.28382545933127,65.52037407017026,58.841411113739014,0.8669676,1.7943224906921387,91.27958059310913,0.7002278,0.0006852149963378906,8000,20,662.7943816184998,31.35596915050317,60.03617763519287,-21.88452486693859,28.021302700042725,28.68189076638296,3.2196907997131348,-158.31475567594458,-82.6631135764077,5,-0.01556236,320000,7,0.16211986541748047,-33.92403440041146
-58.49245799613825,-1.4841556e-08,0.4646604061126709,1.0087695121765137,-197.3024908453226,-141.92751026973127,26.478258795531165,59.306700468063354,0.8445963,2.2857472896575928,94.92226243019104,0.7211675,0.0005459785461425781,9000,20,757.7212347984314,-21.960796644029497,60.46578097343445,-88.8427896052599,30.621068239212036,27.46315662085907,3.8331148624420166,-94.06832083318169,-47.2737668670686,5,-0.017249443,360000,8,0.1440107822418213,-17.001997206444543
-43.214536484124075,7.867813e-09,0.36853790283203125,0.9254355430603027,-181.0303650200367,-103.28858616948128,30.20060192482401,56.99936008453369,0.8267127,1.7468657493591309,87.81694865226746,0.7355177,0.0005633831024169922,10000,20,845.5432255268097,17.559658417686308,58.08077597618103,-24.561605632305145,26.641780376434326,45.62899966985556,3.092758893966675,-74.76906947933328,-37.69506498973844,5,-0.01398831,400000,9,0.14998459815979004,-22.365070612007646
-39.445397537120364,-6.645918e-09,0.37463808059692383,1.0834574699401855,-165.85380800068378,-88.84240741170943,22.4181673400894,57.59273433685303,0.8061051,1.7912821769714355,92.36693382263184,0.74257666,0.0005571842193603516,11000,20,937.9151828289032,10.153091689980172,58.83103942871094,-39.25407639145851,30.369080066680908,30.404197030027387,3.1652071475982666,-51.84097311306158,-23.305335962488677,5,-0.0145241385,440000,10,0.14888834953308105,-8.196064723295711
